교과,학년,학기,단원번호,단원명,총차시,차시번호,차시명,성취기준코드,출판사,교과서ID
국어,1,1,0,한글 놀이,34,1,배울 내용 살펴보기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,2,배울 내용 살펴보기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,3,여러 가지 선 긋기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,4,여러 가지 선 긋기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,5,모양이 같은 그림 찾기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,6,모양이 같은 그림 찾기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,7,글자 모양 찾기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,8,글자 모양 찾기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,9,소리마디 구분하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,10,소리마디 구분하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,11,말놀이하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,12,말놀이하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,13,모음자 알기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,14,모음자 알기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,15,모음자 알기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,16,모음자 알기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,17,모음자 놀이 하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,18,모음자 놀이 하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,19,모음자 바르게 읽고 쓰기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,20,모음자 바르게 읽고 쓰기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,21,모음자 바르게 읽고 쓰기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,22,자음자 알기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,23,자음자 알기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,24,자음자 더 알기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,25,자음자 더 알기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,26,자음자 바르게 쓰기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,27,자음자 바르게 쓰기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,28,자음자 바르게 쓰기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,29,자음자 놀이 하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,30,자음자 놀이 하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,31,자음자 놀이 하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,32,배운 내용 실천하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,33,마무리하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,0,한글 놀이,34,34,마무리하기,[2국01-03];[2국02-05];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,1,배울 내용 살펴보기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,2,배울 내용 살펴보기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,3,글자에서 자음자와 모음자 찾기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,4,글자에서 자음자와 모음자 찾기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,5,받침이 없는 글자의 짜임 알기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,6,받침이 없는 글자의 짜임 알기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,7,바른 자세로 글자 읽고 쓰기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,8,바른 자세로 글자 읽고 쓰기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,9,여러 가지 모음자 알기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,10,여러 가지 모음자 알기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,11,여러 가지 모음자 알기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,12,배운 내용 실천하기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,1,글자를 만들어요,13,13,마무리하기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,1,배울 내용 살펴보기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,2,배울 내용 살펴보기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,3,받침이 있는 글자의 짜임 알기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,4,받침이 있는 글자의 짜임 알기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,5,받침이 있는 글자 읽기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,6,받침이 있는 글자 읽기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,7,받침이 있는 글자 읽기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,8,바른 자세로 발표하기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,9,바른 자세로 발표하기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,10,다른 사람의 말을 집중해 듣기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,11,다른 사람의 말을 집중해 듣기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,12,배운 내용 실천하기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,2,받침이 있는 글자를 읽어요,13,13,마무리하기,[2국01-04];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,1,배울 내용 살펴보기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,2,글자의 짜임을 생각하며 받침이 있는 글자 쓰기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,3,글자의 짜임을 생각하며 받침이 있는 글자 쓰기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,4,받침이 있는 글자 바르게 쓰기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,5,받침이 있는 글자 바르게 쓰기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,6,여러 가지 자음자 알기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,7,여러 가지 자음자 알기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,8,자신 있게 낱말 읽기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,9,자신 있게 낱말 읽기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,10,배운 내용 실천하기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,11,배운 내용 실천하기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,12,마무리하기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,3,낱말과 친해져요,13,13,마무리하기,[2국02-01];[2국03-01];[2국04-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,1,배울 내용 살펴보기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,2,배울 내용 살펴보기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,3,나와 가족에 관련된 낱말 익히기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,4,나와 가족에 관련된 낱말 익히기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,5,나와 가족에 관련된 이야기를 듣고 낱말 읽고 쓰기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,6,나와 가족에 관련된 이야기를 듣고 낱말 읽고 쓰기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,7,학교와 이웃에 관련된 낱말 익히기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,8,학교와 이웃에 관련된 낱말 익히기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,9,학교와 이웃에 관련된 이야기를 듣고 낱말 읽고 쓰기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,10,학교와 이웃에 관련된 이야기를 듣고 낱말 읽고 쓰기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,11,배운 내용 실천하기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,12,배운 내용 실천하기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,13,마무리하기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,4,여러 가지 낱말을 익혀요,14,14,마무리하기,[2국02-01];[2국05-01];[2국06-01],미래엔,
국어,1,1,5,반갑게 인사해요,12,1,배울 내용 살펴보기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,2,알맞은 인사말 알기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,3,상황에 알맞은 인사말 하기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,4,상황에 알맞은 인사말 하기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,5,동시를 듣고 따라 읽기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,6,동시를 듣고 따라 읽기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,7,낱말 바르게 읽기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,8,낱말 바르게 읽기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,9,배운 내용 실천하기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,10,배운 내용 실천하기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,11,마무리하기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,5,반갑게 인사해요,12,12,마무리하기,[2국01-02];[2국01-05];[2국02-05];[2국04-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,1,배울 내용 살펴보기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,2,여러 가지 문장 읽기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,3,여러 가지 문장 읽기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,4,문장의 뜻을 생각하며 읽기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,5,문장의 뜻을 생각하며 읽기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,6,문장 부호의 쓰임 알기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,7,문장 부호의 쓰임 알기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,8,자연스럽게 문장 읽기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,9,자연스럽게 문장 읽기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,10,배운 내용 실천하기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,11,배운 내용 실천하기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,12,마무리하기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,6,또박또박 읽어요,13,13,마무리하기,[2국02-01];[2국02-02];[2국04-03];[2국05-02],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,1,배울 내용 살펴보기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,2,배울 내용 살펴보기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,3,여러 가지 받침이 있는 낱말 읽고 쓰기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,4,그림을 보고 낱말 찾기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,5,그림을 보고 낱말 찾기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,6,그림을 보고 문장으로 말하기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,7,그림을 보고 문장으로 말하기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,8,그림을 보고 문장으로 말하기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,9,여러 가지 문장 완성하기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,10,여러 가지 문장 완성하기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,11,배운 내용 실천하기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,12,배운 내용 실천하기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,13,마무리하기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,1,7,알맞은 낱말을 찾아요,14,14,마무리하기,[2국03-01];[2국03-02];[2국04-03],미래엔,
국어,1,2,1,기분을 말해요,14,1,배울 내용 살펴보기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,2,배울 내용 살펴보기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,3,흉내 내는 말 알기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,4,흉내 내는 말 알기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,5,흉내 내는 말을 넣어 문장 만들기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,6,흉내 내는 말을 넣어 문장 만들기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,7,기분을 나타내는 말 하기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,8,기분을 나타내는 말 하기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,9,듣는 사람을 생각하며 자신의 기분 말하기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,10,듣는 사람을 생각하며 자신의 기분 말하기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,11,배운 내용 실천하기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,12,배운 내용 실천하기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,13,마무리하기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,1,기분을 말해요,14,14,마무리하기,[2국01-02];[2국03-02];[2국05-01],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,1,배울 내용 살펴보기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,2,배울 내용 살펴보기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,3,글자의 짜임 알기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,4,글자의 짜임 알기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,5,받침에 주의하며 문장 쓰기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,6,받침에 주의하며 문장 쓰기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,7,받침이 있는 낱말에 주의하며 글 읽기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,8,받침이 있는 낱말에 주의하며 글 읽기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,9,글쓴이가 하고 싶은 말 찾기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,10,글쓴이가 하고 싶은 말 찾기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,11,글을 읽고 인물의 생각 알기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,12,글을 읽고 인물의 생각 알기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,13,배운 내용 실천하기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,14,마무리하기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,2,낱말을 정확하게 읽어요,15,15,마무리하기,[2국02-01];[2국02-03];[2국03-01];[2국04-02],미래엔,
국어,1,2,3,그림일기를 써요,15,1,배울 내용 살펴보기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,2,여러 사람 앞에서 발표하는 자세 알아보기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,3,여러 사람 앞에서 발표하는 자세 알아보기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,4,자신이 경험한 일이 잘 드러나게 발표하기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,5,자신이 경험한 일이 잘 드러나게 발표하기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,6,기억에 남는 일을 문장으로 말하기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,7,기억에 남는 일을 문장으로 말하기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,8,그림일기를 쓰는 방법 알기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,9,그림일기를 쓰는 방법 알기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,10,경험한 일을 그림일기로 쓰기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,11,경험한 일을 그림일기로 쓰기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,12,배운 내용 실천하기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,13,배운 내용 실천하기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,14,마무리하기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,3,그림일기를 써요,15,15,마무리하기,[2국01-04];[2국03-04];[2국06-02],미래엔,
국어,1,2,4,감동을 나누어요,15,1,배울 내용 살펴보기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,2,배울 내용 살펴보기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,3,누가 무엇을 했는지 생각하며 이야기 듣기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,4,누가 무엇을 했는지 생각하며 이야기 듣기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,5,누가 무엇을 했는지 생각하며 이야기 듣기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,6,이야기를 읽고 일이 일어난 차례 정리하기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,7,이야기를 읽고 일이 일어난 차례 정리하기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,8,"만화 영화를 보고, 있었던 일 정리하기",[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,9,"만화 영화를 보고, 있었던 일 정리하기",[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,10,만화 영화를 보고 감동적인 장면에 대해 이야기 나누기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,11,만화 영화를 보고 감동적인 장면에 대해 이야기 나누기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,12,배운 내용 실천하기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,13,배운 내용 실천하기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,14,마무리하기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,4,감동을 나누어요,15,15,마무리하기,[2국01-01];[2국05-02];[2국06-01],미래엔,
국어,1,2,5,생각을 키워요,13,1,배울 내용 살펴보기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,2,배울 내용 살펴보기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,3,한글을 소중히 여기기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,4,글자에 관심 가지기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,5,글자에 관심 가지기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,6,책에 흥미 가지기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,7,책에 흥미 가지기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,8,글을 읽고 생각이나 느낌 나누기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,9,글을 읽고 생각이나 느낌 나누기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,10,배운 내용 실천하기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,11,배운 내용 실천하기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,12,마무리하기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,5,생각을 키워요,13,13,마무리하기,[2국02-05];[2국04-02];[2국05-02],미래엔,
국어,1,2,6,문장을 읽고 써요,16,1,배울 내용 살펴보기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,2,생각을 문장으로 나타내기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,3,생각을 문장으로 나타내기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,4,시를 읽고 자신의 생각을 문장으로 나타내기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,5,시를 읽고 자신의 생각을 문장으로 나타내기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,6,낱말을 바르게 쓰고 읽기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,7,낱말을 바르게 쓰고 읽기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,8,문장을 자연스럽게 띄어 읽기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,9,문장을 자연스럽게 띄어 읽기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,10,글의 의미를 생각하며 읽기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
국어,1,2,6,문장을 읽고 써요,16,11,글의 의미를 생각하며 읽기,[2국02-02];[2국03-02];[2국04-03];[2국05-04],미래엔,
